ítem,Descripción,Unidad,RCMI 110 10,RCMI 110 10 CS,RCMI 110 10 CD,RCMI 110 20,RCMI 110 20 CS,RCMI 110 20 CD,RCMI 110 30,RCMI 110 30 CS,RCMI 110 30 CD,RCMI 48 10,RCMI 48 10 CS,RCMI 48 10 CD,RCMI 48 20,RCMI 48 20 CS,RCMI 48 20 CD,RCMI 48 30,RCMI 48 30 CS,RCMI 48 30 CD,RCMI 24 10,RCMI 24 10 CS,RCMI 24 10 CD,RCMI 24 20,RCMI 24 20 CS,RCMI 24 20 CD,RCMI 24 30,RCMI 24 30 CS,RCMI 24 30 CD
5.3.3,-Carga Excepcional,-,Sí (Ecualización),Sí (Ecualización),Sí (Ecualización),Sí (Ecualización),Sí (Ecualización),Sí (Ecualización),Sí (Ecualización),Sí (Ecualización),Sí (Ecualización),Sí (Ecualización),Sí (Ecualización),Sí (Ecualización),Sí (Ecualización),Sí (Ecualización),Sí (Ecualización),Sí (Ecualización),Sí (Ecualización),Sí (Ecualización),Sí (Ecualización),Sí (Ecualización),Sí (Ecualización),Sí (Ecualización),Sí (Ecualización),Sí (Ecualización),Sí (Ecualización),Sí (Ecualización),Sí (Ecualización)
5.4,Regulador de Tensión mediante cadena de diodos,-,No,Cadena Simple (CS),Cadena Doble (CD),No,Cadena Simple (CS),Cadena Doble (CD),No,Cadena Simple (CS),Cadena Doble (CD),No,Cadena Simple (CS),Cadena Doble (CD),No,Cadena Simple (CS),Cadena Doble (CD),No,Cadena Simple (CS),Cadena Doble (CD),No,Cadena Simple (CS),Cadena Doble (CD),No,Cadena Simple (CS),Cadena Doble (CD),No,Cadena Simple (CS),Cadena Doble (CD)
5.5,Rango de tensión de salida a consumo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5.1,-Baterías Ni-Cd,% Vnom,±10,±5 (con CS),±10 (con CD),±10,±5 (con CS),±10 (con CD),±10,±5 (con CS),±10 (con CD),±10,±5 (con CS),±10 (con CD),±10,±5 (con CS),±10 (con CD),±10,±5 (con CS),±10 (con CD),±10,±5 (con CS),±10 (con CD),±10,±5 (con CS),±10 (con CD),±10,±5 (con CS),±10 (con CD)
5.5.2,-Baterías Pb-Ca,% Vnom,±10,±5 (con CS),±10 (con CD),±10,±5 (con CS),±10 (con CD),±10,±5 (con CS),±10 (con CD),±10,±5 (con CS),±10 (con CD),±10,±5 (con CS),±10 (con CD),±10,±5 (con CS),±10 (con CD),±10,±5 (con CS),±10 (con CD),±10,±5 (con CS),±10 (con CD),±10,±5 (con CS),±10 (con CD)
5.3,Detección de polo a tierra,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
5.4,Tipo de Interruptor de salida a consumo / calibre (A),- ,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P
5.5,Tipo de Interruptor de salida a baterías / calibre (A),-,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P,Interruptor TM 2P
5.6,Sistema de rectificación,-,Puente rectificador 4 pulsos con tiristores,Puente rectificador 4 pulsos con tiristores,Puente rectificador 4 pulsos con tiristores,Puente rectificador 4 pulsos con tiristores,Puente rectificador 4 pulsos con tiristores,Puente rectificador 4 pulsos con tiristores,Puente rectificador 4 pulsos con tiristores,Puente rectificador 4 pulsos con tiristores,Puente rectificador 4 pulsos con tiristores,Puente rectificador 4 pulsos con tiristores,Puente rectificador 4 pulsos con tiristores,Puente rectificador 4 pulsos con tiristores,Puente rectificador 4 pulsos con tiristores,Puente rectificador 4 pulsos con tiristores,Puente rectificador 4 pulsos con tiristores,Puente rectificador 4 pulsos con tiristores,Puente rectificador 4 pulsos con tiristores,Puente rectificador 4 pulsos con tiristores,Puente rectificador 4 pulsos con tiristores,Puente rectificador 4 pulsos con tiristores,Puente rectificador 4 pulsos con tiristores,Puente rectificador 4 pulsos con tiristores,Puente rectificador 4 pulsos con tiristores,Puente rectificador 4 pulsos con tiristores,Puente rectificador 4 pulsos con tiristores,Puente rectificador 4 pulsos con tiristores,Puente rectificador 4 pulsos con tiristores
5.7,Ripple,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.7.1,-Con Baterías conectadas,%,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
5.7.2,-Sin Baterías conectadas,%,±2,±2,±2,±2,±2,±2,±2,±2,±2,±2,±2,±2,±2,±2,±2,±2,±2,±2,±2,±2,±2,±2,±2,±2,±2,±2,±2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Gabinete del Sistema,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1,Material,-,Chapa de acero plegada,Chapa de acero plegada,Chapa de acero plegada,Chapa de acero plegada,Chapa de acero plegada,Chapa de acero plegada,Chapa de acero plegada,Chapa de acero plegada,Chapa de acero plegada,Chapa de acero plegada,Chapa de acero plegada,Chapa de acero plegada,Chapa de acero plegada,Chapa de acero plegada,Chapa de acero plegada,Chapa de acero plegada,Chapa de acero plegada,Chapa de acero plegada,Chapa de acero plegada,Chapa de acero plegada,Chapa de acero plegada,Chapa de acero plegada,Chapa de acero plegada,Chapa de acero plegada,Chapa de acero plegada,Chapa de acero plegada,Chapa de acero plegada
6.2,Acceso,-,Frontal con puerta,Frontal con puerta,Frontal con puerta,Frontal con puerta,Frontal con puerta,Frontal con puerta,Frontal con puerta,Frontal con puerta,Frontal con puerta,Frontal con puerta,Frontal con puerta,Frontal con puerta,Frontal con puerta,Frontal con puerta,Frontal con puerta,Frontal con puerta,Frontal con puerta,Frontal con puerta,Frontal con puerta,Frontal con puerta,Frontal con puerta,Frontal con puerta,Frontal con puerta,Frontal con puerta,Frontal con puerta,Frontal con puerta,Frontal con puerta
6.3,Grado de protección del cerramiento,IP,IP21,IP21,IP21,IP21,IP21,IP21,IP21,IP21,IP21,IP21,IP21,IP21,IP21,IP21,IP21,IP21,IP21,IP21,IP21,IP21,IP21,IP21,IP21,IP21,IP21,IP21,IP21
6.4,Espesor de chapa de estructura,mm,1.5-2.0,1.5-2.0,1.5-2.0,1.5-2.0,1.5-2.0,1.5-2.0,1.5-2.0,1.5-2.0,1.5-2.0,1.5-2.0,1.5-2.0,1.5-2.0,1.5-2.0,1.5-2.0,1.5-2.0,1.5-2.0,1.5-2.0,1.5-2.0,1.5-2.0,1.5-2.0,1.5-2.0,1.5-2.0,1.5-2.0,1.5-2.0,1.5-2.0,1.5-2.0,1.5-2.0
6.5,Tipo de Pintura,-,Pintura termo convertida,Pintura termo convertida,Pintura termo convertida,Pintura termo convertida,Pintura termo convertida,Pintura termo convertida,Pintura termo convertida,Pintura termo convertida,Pintura termo convertida,Pintura termo convertida,Pintura termo convertida,Pintura termo convertida,Pintura termo convertida,Pintura termo convertida,Pintura termo convertida,Pintura termo convertida,Pintura termo convertida,Pintura termo convertida,Pintura termo convertida,Pintura termo convertida,Pintura termo convertida,Pintura termo convertida,Pintura termo convertida,Pintura termo convertida,Pintura termo convertida,Pintura termo convertida,Pintura termo convertida
6.6,Color,RAL,RAL 7032,RAL 7032,RAL 7032,RAL 7032,RAL 7032,RAL 7032,RAL 7032,RAL 7032,RAL 7032,RAL 7032,RAL 7032,RAL 7032,RAL 7032,RAL 7032,RAL 7032,RAL 7032,RAL 7032,RAL 7032,RAL 7032,RAL 7032,RAL 7032,RAL 7032,RAL 7032,RAL 7032,RAL 7032,RAL 7032,RAL 7032
6.7,Espeso de pintura,µm,60-80,60-80,60-80,60-80,60-80,60-80,60-80,60-80,60-80,60-80,60-80,60-80,60-80,60-80,60-80,60-80,60-80,60-80,60-80,60-80,60-80,60-80,60-80,60-80,60-80,60-80,60-80
6.8,Dimensiones (ancho x alto x profundidad),mm,640x1000x640,640x1000x640,640x1000x640,640x1000x640,640x1000x640,640x1000x640,640x1000x640,640x1000x640,640x1000x640,640x1000x640,640x1000x640,640x1000x640,640x1000x640,640x1000x640,640x1000x640,640x1000x640,640x1000x640,640x1000x640,640x1000x640,640x1000x640,640x1000x640,640x1000x640,640x1000x640,640x1000x640,640x1000x640,640x1000x640,640x1000x640
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1,Ventilación,AN/AF,AN (Natural),AN (Natural),AN (Natural),AN (Natural),AN (Natural),AN (Natural),AN (Natural),AN (Natural),AN (Natural),AN (Natural),AN (Natural),AN (Natural),AN (Natural),AN (Natural),AN (Natural),AN (Natural),AN (Natural),AN (Natural),AN (Natural),AN (Natural),AN (Natural),AN (Natural),AN (Natural),AN (Natural),AN (Natural),AN (Natural),AN (Natural)
7.2,Rectificador,-,Tiristores autorregulados,Tiristores autorregulados,Tiristores autorregulados,Tiristores autorregulados,Tiristores autorregulados,Tiristores autorregulados,Tiristores autorregulados,Tiristores autorregulados,Tiristores autorregulados,Tiristores autorregulados,Tiristores autorregulados,Tiristores autorregulados,Tiristores autorregulados,Tiristores autorregulados,Tiristores autorregulados,Tiristores autorregulados,Tiristores autorregulados,Tiristores autorregulados,Tiristores autorregulados,Tiristores autorregulados,Tiristores autorregulados,Tiristores autorregulados,Tiristores autorregulados,Tiristores autorregulados,Tiristores autorregulados,Tiristores autorregulados,Tiristores autorregulados
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Protecciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.1,-Sobretensiones en CC / CA,-,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida
